i,time,loss
100,14.27543044090271,1.082570946680285
200,32.99220681190491,1.068747508100971
300,48.40321588516235,1.0962019251646162
400,63.3955180644989,1.0274387199824064
500,76.30594754219055,1.061717744945605
600,84.64471650123596,1.0685751496128981
700,92.51187562942505,1.0927987008980153
800,101.88367104530334,0.9164553594538232
900,112.06103467941284,0.6759469356247775
1000,121.25663805007935,0.45349536916391087
1100,128.29699635505676,0.23077094941652576
1200,135.1362006664276,0.11433844975184786
1300,142.1748788356781,0.07626921662493014
1400,150.62553119659424,0.056468572319577345
1500,158.94552087783813,0.037248280612995954
1600,166.49006175994873,0.04069760522779449
1700,173.7876842021942,0.03230724470955859
1800,182.0499713420868,0.017864981842424747
1900,189.13347339630127,0.012890616960145075
2000,196.8746519088745,0.0153370886375981
2100,206.20587515830994,0.009931728579212451
2200,215.94904041290283,0.014744630748773396
2300,230.78900837898254,0.011967440340425583
2400,240.86735725402832,0.007378109707328713
2500,249.91347479820251,0.028781650073701787
