i,Accuracy
100,0.4166666666666667
200,0.4166666666666667
300,0.4166666666666667
400,0.4166666666666667
500,0.4166666666666667
600,0.4166666666666667
700,0.33666666666666667
800,0.385
900,0.4166666666666667
1000,0.4166666666666667
1100,0.385
1200,0.4166666666666667
1300,0.4166666666666667
1400,0.385
1500,0.4166666666666667
1600,0.38666666666666666
1700,0.385
1800,0.45
1900,0.385
2000,0.385
2100,0.385
2200,0.43833333333333335
2300,0.5616666666666666
2400,0.45666666666666667
2500,0.485
2600,0.5516666666666666
2700,0.6133333333333333
2800,0.625
2900,0.75
3000,0.7466666666666667
3100,0.755
3200,0.6566666666666666
3300,0.7866666666666666
3400,0.8
3500,0.7883333333333333
3600,0.79
3700,0.8266666666666667
3800,0.8216666666666667
3900,0.84
4000,0.8333333333333334
4100,0.8233333333333334
4200,0.8383333333333334
4300,0.8433333333333334
4400,0.8416666666666667
4500,0.8433333333333334
4600,0.8416666666666667
4700,0.8416666666666667
4800,0.8466666666666667
4900,0.845
5000,0.8433333333333334
5100,0.8466666666666667
5200,0.8466666666666667
5300,0.825
5400,0.845
5500,0.845
5600,0.8383333333333334
5700,0.8466666666666667
5800,0.845
5900,0.845
6000,0.8466666666666667
6100,0.845
6200,0.8466666666666667
6300,0.8466666666666667
6400,0.8466666666666667
6500,0.845
6600,0.8233333333333334
6700,0.8466666666666667
6800,0.8133333333333334
6900,0.845
7000,0.8466666666666667
7100,0.8466666666666667
7200,0.8483333333333334
7300,0.8466666666666667
7400,0.8466666666666667
7500,0.8466666666666667
7600,0.845
7700,0.8466666666666667
7800,0.8466666666666667
7900,0.8466666666666667
8000,0.845
8100,0.8483333333333334
8200,0.8466666666666667
8300,0.8483333333333334
8400,0.8483333333333334
8500,0.8466666666666667
8600,0.8466666666666667
8700,0.8466666666666667
8800,0.8466666666666667
8900,0.8466666666666667
9000,0.8466666666666667
9100,0.8483333333333334
9200,0.8483333333333334
9300,0.845
9400,0.8483333333333334
9500,0.8483333333333334
9600,0.8483333333333334
9700,0.8483333333333334
9800,0.845
9900,0.8466666666666667
10000,0.8483333333333334
10100,0.8483333333333334
10200,0.8483333333333334
10300,0.8483333333333334
10400,0.8483333333333334
10500,0.8483333333333334
10600,0.8483333333333334
10700,0.8483333333333334
10800,0.8483333333333334
10900,0.8483333333333334
11000,0.8483333333333334
11100,0.8466666666666667
11200,0.8466666666666667
11300,0.8483333333333334
11400,0.8483333333333334
11500,0.8483333333333334
11600,0.8466666666666667
11700,0.8483333333333334
11800,0.8483333333333334
11900,0.8483333333333334
12000,0.8483333333333334
12100,0.8483333333333334
12200,0.8483333333333334
12300,0.8483333333333334
12400,0.8483333333333334
12500,0.8483333333333334
12600,0.8483333333333334
12700,0.8483333333333334
12800,0.8483333333333334
12900,0.8483333333333334
13000,0.8483333333333334
13100,0.8483333333333334
13200,0.8483333333333334
13300,0.8483333333333334
13400,0.8483333333333334
13500,0.8483333333333334
13600,0.8483333333333334
13700,0.8483333333333334
13800,0.8483333333333334
13900,0.8483333333333334
14000,0.8483333333333334
14100,0.8483333333333334
14200,0.8466666666666667
14300,0.8483333333333334
14400,0.8483333333333334
14500,0.8483333333333334
14600,0.8483333333333334
14700,0.8483333333333334
14800,0.8483333333333334
14900,0.8483333333333334
15000,0.8483333333333334
15100,0.8483333333333334
15200,0.8483333333333334
15300,0.8483333333333334
15400,0.8483333333333334
15500,0.8483333333333334
15600,0.8483333333333334
15700,0.8483333333333334
15800,0.8483333333333334
15900,0.8466666666666667
16000,0.8483333333333334
16100,0.8483333333333334
16200,0.8483333333333334
16300,0.8483333333333334
16400,0.8483333333333334
16500,0.8483333333333334
16600,0.8483333333333334
16700,0.8483333333333334
16800,0.8483333333333334
16900,0.8483333333333334
17000,0.8483333333333334
17100,0.8483333333333334
17200,0.8483333333333334
17300,0.8483333333333334
17400,0.8483333333333334
17500,0.8483333333333334
17600,0.8483333333333334
17700,0.8483333333333334
17800,0.8483333333333334
17900,0.8483333333333334
18000,0.8483333333333334
18100,0.8483333333333334
18200,0.8483333333333334
18300,0.8483333333333334
18400,0.8483333333333334
18500,0.8483333333333334
18600,0.8483333333333334
18700,0.8483333333333334
18800,0.8483333333333334
18900,0.8483333333333334
19000,0.8483333333333334
19100,0.8483333333333334
19200,0.8483333333333334
19300,0.8483333333333334
19400,0.8483333333333334
19500,0.8483333333333334
19600,0.8483333333333334
19700,0.8483333333333334
19800,0.8483333333333334
19900,0.8483333333333334
20000,0.8483333333333334
20100,0.8483333333333334
20200,0.8483333333333334
20300,0.8483333333333334
20400,0.8483333333333334
20500,0.8483333333333334
20600,0.8983333333333333
20700,0.8983333333333333
20800,0.8983333333333333
20900,0.8983333333333333
21000,0.9383333333333334
21100,0.9383333333333334
21200,0.9383333333333334
21300,0.9316666666666666
21400,0.9383333333333334
21500,0.9383333333333334
21600,0.9383333333333334
21700,0.9383333333333334
21800,0.9383333333333334
21900,0.9383333333333334
22000,0.9383333333333334
22100,0.9383333333333334
22200,0.9383333333333334
22300,0.9383333333333334
22400,0.9383333333333334
22500,0.9383333333333334
22600,0.9383333333333334
22700,0.9383333333333334
22800,0.9383333333333334
22900,0.9383333333333334
23000,0.9383333333333334
23100,0.9383333333333334
23200,0.97
23300,0.9983333333333333
23400,1.0
23500,1.0
23600,1.0
23700,1.0
23800,1.0
23900,1.0
24000,1.0
24100,1.0
24200,1.0
24300,1.0
24400,1.0
24500,0.9583333333333334
24600,0.97
24700,1.0
24800,0.9983333333333333
24900,1.0
25000,1.0
25100,1.0
25200,1.0
25300,1.0
25400,1.0
25500,1.0
25600,1.0
25700,1.0
25800,1.0
25900,1.0
