i,loss,time
100,0.7270663368701935,3.218806266784668
200,0.8791806805133819,6.0552592277526855
300,0.8621537923812866,8.872282028198242
400,0.7401082593202591,11.796762228012085
500,0.7848436039686203,14.699840068817139
600,0.6881131398677826,17.643944263458252
700,0.6803948050737381,20.710887908935547
800,0.6528671091794968,23.727597951889038
900,0.6435585874319076,26.824541568756104
1000,0.6113959014415741,29.854929208755493
1100,0.5899187111854554,32.929667711257935
1200,0.6860304218530655,36.57230758666992
1300,0.7441101551055909,40.04976797103882
1400,0.6990993022918701,43.06426763534546
1500,0.6703084164857864,46.2522349357605
1600,0.7014336276054383,49.31304430961609
1700,0.5726698392629623,52.500932693481445
1800,0.6146820735931396,55.59368586540222
1900,0.6632753318548202,58.78203725814819
2000,0.620293333530426,61.83663606643677
2100,0.6650258588790894,64.97311973571777
2200,0.6199890911579132,68.11470890045166
2300,0.6443142902851104,71.0619854927063
2400,0.6693162024021149,74.20973896980286
2500,0.6318917500972748,77.76921010017395
2600,0.5814550572633743,80.910560131073
2700,0.6145399808883667,84.03745698928833
2800,0.7110609793663025,87.0767457485199
2900,0.7513138365745544,90.01287651062012
3000,0.6818509191274643,92.9614851474762
3100,0.6533681356906891,96.14710783958435
3200,0.6328012824058533,99.20552229881287
3300,0.6518411022424698,102.43312859535217
3400,0.6431023234128952,105.45787763595581
3500,0.5831073832511902,108.721107006073
