i,Accuracy
100,0.4
200,0.38333333333333336
300,0.38333333333333336
400,0.4
500,0.4
600,0.43333333333333335
700,0.65
800,0.855
900,0.8883333333333333
1000,0.8966666666666666
1100,0.9033333333333333
1200,0.8633333333333333
1300,0.8783333333333333
1400,0.9033333333333333
1500,0.9066666666666666
1600,0.9083333333333333
1700,0.9083333333333333
1800,0.9083333333333333
1900,0.9083333333333333
2000,0.9033333333333333
2100,0.905
2200,0.9083333333333333
2300,0.9083333333333333
2400,0.9083333333333333
2500,0.9083333333333333
2600,0.9083333333333333
2700,0.9083333333333333
2800,0.9083333333333333
2900,0.9083333333333333
3000,0.9083333333333333
3100,0.9083333333333333
3200,0.9083333333333333
3300,0.9083333333333333
3400,0.9083333333333333
3500,0.9083333333333333
3600,0.9083333333333333
3700,0.9083333333333333
3800,0.9083333333333333
3900,0.9083333333333333
4000,0.9083333333333333
4100,0.9083333333333333
4200,0.9083333333333333
4300,0.9083333333333333
4400,0.9083333333333333
4500,0.9083333333333333
4600,0.9083333333333333
4700,0.9083333333333333
4800,0.9083333333333333
4900,0.9083333333333333
5000,0.9083333333333333
5100,0.9083333333333333
5200,0.9083333333333333
5300,0.9083333333333333
5400,0.9083333333333333
5500,0.9083333333333333
5600,0.9083333333333333
5700,0.9083333333333333
5800,0.9083333333333333
5900,0.9083333333333333
6000,0.9083333333333333
6100,0.9083333333333333
6200,0.9083333333333333
6300,0.9083333333333333
6400,0.9083333333333333
6500,0.96
6600,0.8416666666666667
6700,0.9566666666666667
6800,0.96
6900,0.9583333333333334
7000,0.9583333333333334
7100,0.9583333333333334
7200,0.9583333333333334
7300,0.9583333333333334
7400,0.96
7500,0.96
7600,0.96
7700,0.96
7800,0.96
7900,0.96
8000,0.96
8100,0.96
8200,0.96
8300,0.96
8400,0.96
8500,0.96
8600,0.96
8700,0.96
8800,0.96
8900,0.96
9000,0.96
9100,0.96
9200,0.96
9300,0.96
9400,0.96
9500,0.96
9600,0.96
9700,0.96
9800,0.96
9900,0.96
10000,0.96
10100,0.96
10200,0.96
10300,0.9883333333333333
10400,0.9583333333333334
10500,0.9983333333333333
10600,0.9266666666666666
10700,1.0
10800,1.0
10900,1.0
11000,1.0
11100,1.0
11200,1.0
11300,1.0
11400,1.0
11500,1.0
11600,1.0
11700,1.0
11800,1.0
11900,1.0
12000,1.0
12100,1.0
12200,1.0
12300,1.0
12400,1.0
12500,1.0
12600,1.0
12700,1.0
12800,1.0
12900,1.0
13000,1.0
13100,1.0
13200,1.0
13300,1.0
13400,1.0
13500,1.0
13600,1.0
13700,1.0
13800,1.0
13900,1.0
14000,1.0
14100,1.0
14200,1.0
14300,1.0
