i,Accuracy
50,0.28888888888888886
100,0.3527777777777778
150,0.3527777777777778
200,0.3527777777777778
250,0.3527777777777778
300,0.3527777777777778
350,0.3527777777777778
400,0.3527777777777778
450,0.49166666666666664
500,0.3416666666666667
550,0.3888888888888889
600,0.5611111111111111
650,0.5555555555555556
700,0.7416666666666667
750,0.8555555555555555
800,0.85
850,0.8583333333333333
900,0.8555555555555555
950,0.8555555555555555
1000,0.8555555555555555
1050,0.8555555555555555
1100,0.8555555555555555
1150,0.8527777777777777
1200,0.8555555555555555
1250,0.8555555555555555
1300,0.8527777777777777
1350,0.8555555555555555
1400,0.8555555555555555
1450,0.8555555555555555
1500,0.8555555555555555
1550,0.8555555555555555
1600,0.8527777777777777
1650,0.8527777777777777
1700,0.8583333333333333
