i,Accuracy
25,0.3527777777777778
50,0.3527777777777778
75,0.3527777777777778
100,0.3527777777777778
125,0.3527777777777778
150,0.3527777777777778
175,0.3527777777777778
200,0.3527777777777778
225,0.3527777777777778
250,0.3527777777777778
275,0.3527777777777778
300,0.3527777777777778
325,0.3527777777777778
350,0.3527777777777778
375,0.3527777777777778
400,0.3527777777777778
425,0.3527777777777778
450,0.3527777777777778
475,0.3527777777777778
500,0.44722222222222224
525,0.2361111111111111
550,0.42777777777777776
575,0.3055555555555556
600,0.4444444444444444
625,0.3527777777777778
650,0.49166666666666664
675,0.49166666666666664
700,0.49166666666666664
725,0.49166666666666664
750,0.39166666666666666
775,0.5527777777777778
800,0.65
825,0.5944444444444444
850,0.475
875,0.5861111111111111
900,0.5194444444444445
925,0.6777777777777778
950,0.7138888888888889
975,0.6972222222222222
1000,0.9722222222222222
1025,0.8138888888888889
1050,0.7555555555555555
1075,0.8166666666666667
1100,0.6916666666666667
1125,0.5861111111111111
1150,0.7611111111111111
1175,0.7472222222222222
1200,0.775
1225,0.8055555555555556
1250,0.8972222222222223
1275,0.9
1300,0.9
1325,0.925
1350,0.9916666666666667
1375,1.0
1400,1.0
1425,1.0
