i,loss,time
25,2.200677433013916,0.5504763126373291
50,2.191267614364624,1.0455269813537598
75,2.190892791748047,1.4827497005462646
100,2.1872809314727784,1.8991034030914307
125,2.2012758255004883,2.3247671127319336
150,2.188001203536987,2.7567222118377686
175,2.1989498424530027,3.1945862770080566
200,2.1977745723724365,3.622685432434082
225,2.184021329879761,4.023417234420776
250,2.1981662559509276,4.450788974761963
275,2.1884987926483155,4.873460531234741
300,2.2139980602264404,5.312443017959595
325,2.1635101985931398,5.757658004760742
350,2.2346927642822267,6.197071313858032
375,2.1961306667327882,6.637092351913452
400,2.2052789306640626,7.0618896484375
425,2.1820703315734864,7.490907430648804
450,2.2130287647247315,7.928804636001587
475,2.211162118911743,8.533269166946411
500,2.1962827014923096,9.036950826644897
525,2.2030597496032716,9.488053321838379
550,2.1972718143463137,9.937187433242798
575,2.1821133518218994,10.356703519821167
600,2.193569393157959,10.783469200134277
625,2.2100568866729735,11.21891164779663
650,2.208471431732178,11.651191234588623
675,2.195050392150879,12.080456018447876
700,2.1871741580963135,12.518468379974365
725,2.199506931304932,12.964990377426147
750,2.187948532104492,13.429682970046997
775,2.171133337020874,13.932653903961182
800,2.178338327407837,14.410633563995361
825,2.181938076019287,14.858893632888794
850,2.194107732772827,15.285402774810791
875,2.171272735595703,15.721565961837769
900,2.151717119216919,16.162015438079834
925,2.138383502960205,16.595192909240723
950,2.1783344411849974,17.035881996154785
975,2.077532186508179,17.47847557067871
1000,2.12254319190979,17.90067458152771
1025,2.065395922660828,18.34854745864868
1050,2.0668895387649537,18.779030323028564
1075,1.9213031911849976,19.211614847183228
1100,1.9098496198654176,19.66582489013672
1125,1.872550973892212,20.11121964454651
1150,1.7870708990097046,20.551082849502563
1175,1.711206421852112,20.999646425247192
1200,1.5318783664703368,21.445632696151733
1225,1.4860932064056396,21.89692211151123
1250,1.401695532798767,22.34044599533081
1275,1.3312780570983886,22.779677391052246
1300,1.200490493774414,23.21846103668213
1325,1.365153069496155,23.723154306411743
1350,1.195494236946106,24.180954217910767
1375,1.2339563512802123,24.618686199188232
1400,1.1817665481567383,25.058027505874634
