i,time,loss
25,1.950530767440796,1.0550775198208282
50,42.0879864692688,1.0826764319712914
75,77.12489366531372,1.0549260305485946
100,111.5077817440033,1.054588661504424
125,150.97678971290588,1.0480286701984611
150,193.195974111557,0.8311881081689602
175,234.60965657234192,0.703380306832731
200,275.6304495334625,0.7433866261621971
225,317.9040718078613,0.6359702010448725
250,358.8561623096466,0.5967214568481218
275,401.0121932029724,0.47428581260254044
300,442.4444065093994,0.36621720450237905
325,484.1825125217438,0.5238852445832535
350,527.1109404563904,0.45847967738768125
375,569.0246250629425,0.5141563667461744
400,610.1220586299896,0.2897512537398495
425,651.4010081291199,0.09355611427274908
450,692.6317343711853,0.08164961099282643
475,734.4331300258636,0.029764592569116267
500,787.4277529716492,0.011302372994148628
525,836.5265848636627,0.028327592377324993
550,879.5784027576447,0.09172478130047425
575,922.4141073226929,0.027621148878660545
600,963.9473187923431,0.0032205354301878112
625,1005.63631772995,0.0017168888297797939
650,1046.948138475418,0.005546457225870045
675,1089.132265329361,0.0012636972653948262
700,1138.4479837417603,0.0023442685309224857
725,1182.9136917591095,0.0007226845047753205
750,1226.814968585968,0.0006625450073513753
775,1276.098271369934,0.006345256208253724
800,1324.9142735004425,0.0010426441660214437
825,1367.000583410263,0.001164568518643555
850,1409.299554347992,0.0003488694479522801
875,1450.7578279972076,0.0038009359346018894
900,1492.9783487319946,0.00029071682720552527
925,1534.399833202362,0.0006295380087381313
950,1577.1797592639923,0.0021155396019988657
975,1623.7657730579376,0.002913122727299227
1000,1671.1059784889221,0.006352379494110378
1025,1713.6380701065063,0.00025590998386683226
1050,1758.7117433547974,0.0018750328413359402
1075,1800.254484653473,0.00025527024118837275
1100,1842.3698468208313,0.00020101433247200951
1125,1883.8577959537506,0.0002627682107648217
1150,1926.0444784164429,0.0018536549447019024
1175,1984.1629846096039,9.466201734714299e-05
1200,2032.8426861763,0.00013689067795672366
1225,2075.0342421531677,0.00037954721671617413
1250,2116.5725927352905,0.0002725567880086329
1275,2158.2488973140717,0.00010581029757148513
1300,2200.156162261963,8.592684852646355e-05
1325,2241.480083465576,0.00013352870371512746
1350,2283.629922389984,0.0007501399226807756
1375,2329.6397893428802,0.00015978633853342493
1400,2372.0189080238342,0.0001641121118601218
1425,2414.3230822086334,0.00036181756027809086
1450,2455.971054315567,6.749523575825557e-05
1475,2497.5638270378113,7.517993041575242e-05
1500,2538.8797421455383,0.00019351207621129963
1525,2580.417717933655,0.0003597554414085429
1550,2627.3831264972687,0.00022699187775702883
1575,2669.652087211609,5.038106170015423e-05
1600,2712.603892326355,0.00013591240925478669
1625,2754.627910375595,0.0001899833531358348
1650,2796.227240085602,0.000158417817156214
1675,2838.442790031433,0.0001191389843467618
1700,2880.967533826828,8.375022826428324e-05
1725,2923.521239757538,8.631363243423558e-05
1750,2965.518330812454,7.486295760504749e-05
1775,3006.8271877765656,0.00011879893698340361
1800,3048.367125749588,0.00017972206318737254
1825,3089.6107788085938,0.0001160752858415534
1850,3131.798998117447,4.825072363515463e-05
1875,3173.9970333576202,4.381260548400317e-05
1900,3216.0603201389313,0.00012523344031114034
1925,3259.6696808338165,9.943993269094628e-05
1950,3301.5554106235504,0.00012057933421334706
1975,3342.434148788452,2.740225304477251e-05
2000,3384.9234268665314,2.6235836025351373e-05
2025,3427.541047811508,0.0004089747051454267
2050,3497.6034417152405,3.332592620315674e-05
2075,3542.553050518036,0.001340240259461096
2100,3600.8768961429596,0.00014386191763760437
2125,3649.375052213669,0.0006631446632329021
2150,3700.720474720001,0.0001903637333836656
2175,3745.867858171463,6.299104949668989e-05
2200,3790.162091255188,0.00010283446150039248
2225,3836.8160152435303,7.783640811606342e-05
2250,3882.5681426525116,7.504062082333653e-05
2275,3927.921181678772,0.00018955087703690518
2300,3968.9767961502075,8.77573881004826e-05
2325,4012.484304666519,0.0001312362572481207
2350,4064.597639799118,0.00013792212779739865
2375,4109.812927484512,0.0001783354031728435
2400,4152.02907204628,6.019431637869057e-05
